Date BR,Borough,Pool,Attendance
29/06/2017,Brooklyn,Betsy Head,1107
29/06/2017,Brooklyn,Adelphi,195
29/06/2017,Brooklyn,Lindower Mill Basin,140
29/06/2017,Brooklyn,Jesse Owens JHS 57,0
29/06/2017,Brooklyn,Glenwood,50
29/06/2017,Brooklyn,David Fox,194
29/06/2017,Brooklyn,McCarren,2526
29/06/2017,Brooklyn,Sunset,2124
29/06/2017,Brooklyn,Red Hook,807
29/06/2017,Brooklyn,Kosciusko,988
29/06/2017,Brooklyn,Howard,486
29/06/2017,Brooklyn,Douglas Degraw,515
29/06/2017,Brooklyn,Commodore Barry,527
29/06/2017,Brooklyn,Bushwick,0
29/06/2017,Bronx,Claremont,692
29/06/2017,Bronx,Edenwald Houses,224
29/06/2017,Bronx,Crotona,1652
29/06/2017,Bronx,Floating Pool,489
29/06/2017,Bronx,Haffen,588
29/06/2017,Bronx,Mapes,732
29/06/2017,Bronx,Mullaly,645
29/06/2017,Bronx,Van Cortlandt,1068
29/06/2017,Bronx,Bronx River Plgd,170
29/06/2017,Manhattan,Asser Levy,448
29/06/2017,Manhattan,Dapolito,450
29/06/2017,Manhattan,Dry Dock,618
29/06/2017,Manhattan,Hamilton Fish,2028
29/06/2017,Manhattan,Highbridge,3360
29/06/2017,Manhattan,Jackie Robinson,889
29/06/2017,Manhattan,John Jay,511
29/06/2017,Manhattan,Lasker,1910
29/06/2017,Manhattan,Marcus Garvey,619
29/06/2017,Manhattan,Sheltering Arms,325
29/06/2017,Manhattan,Thomas Jefferson,1007
29/06/2017,Manhattan,Wagner,319
29/06/2017,Manhattan,Abe Lincoln,74
29/06/2017,Manhattan,Fred Douglass,42
29/06/2017,Manhattan,Vesuvio,188
29/06/2017,Manhattan,Tompkins Sq,152
29/06/2017,Queens,Astoria,163
29/06/2017,Queens,Fisher,755
29/06/2017,Queens,Liberty,501
29/06/2017,Queens,Fort Totten,470
29/06/2017,Queens,Marie Curie,106
29/06/2017,Queens,Astoria Hts PS 10,0
29/06/2017,Queens,Castlewood PS 186,45
29/06/2017,Queens,Windmuller,414
29/06/2017,Staten Island,Faber,461
29/06/2017,Staten Island,Lyons,781
30/06/2017,Queens,Marie Curie,320
29/06/2017,Staten Island,Tottenville,255
29/06/2017,Staten Island,West Brighton,329
29/06/2017,Staten Island,MacArthur,0
29/06/2017,Staten Island,Mariner's Harbor,0
29/06/2017,Staten Island,P.S. 14,75
29/06/2017,Staten Island,P.S. 46,120
30/06/2017,Brooklyn,Betsy Head,1374
30/06/2017,Brooklyn,Adelphi,0
30/06/2017,Brooklyn,Lindower Mill Basin,270
30/06/2017,Brooklyn,Jesse Owens JHS 57,0
30/06/2017,Brooklyn,Glenwood,118
30/06/2017,Brooklyn,David Fox,142
30/06/2017,Brooklyn,McCarren,3512
30/06/2017,Brooklyn,Sunset,2684
30/06/2017,Brooklyn,Red Hook,1143
30/06/2017,Brooklyn,Kosciusko,1326
30/06/2017,Brooklyn,Howard,241
30/06/2017,Brooklyn,Douglas Degraw,787
30/06/2017,Brooklyn,Commodore Barry,143
30/06/2017,Brooklyn,Bushwick,361
30/06/2017,Bronx,Claremont,697
30/06/2017,Bronx,Edenwald Houses,225
30/06/2017,Bronx,Crotona,3146
30/06/2017,Bronx,Floating Pool,691
30/06/2017,Bronx,Haffen,585
30/06/2017,Bronx,Mapes,923
30/06/2017,Bronx,Mullaly,695
30/06/2017,Bronx,Van Cortlandt,1356
30/06/2017,Bronx,Bronx River Plgd,146
30/06/2017,Manhattan,Asser Levy,707
30/06/2017,Manhattan,Dapolito,400
30/06/2017,Manhattan,Dry Dock,639
30/06/2017,Manhattan,Hamilton Fish,2282
30/06/2017,Manhattan,Highbridge,3032
30/06/2017,Manhattan,Jackie Robinson,1207
30/06/2017,Manhattan,John Jay,792
30/06/2017,Manhattan,Lasker,2416
30/06/2017,Manhattan,Marcus Garvey,793
30/06/2017,Manhattan,Sheltering Arms,387
30/06/2017,Manhattan,Thomas Jefferson,959
30/06/2017,Manhattan,Wagner,364
30/06/2017,Manhattan,Abe Lincoln,122
30/06/2017,Manhattan,Fred Douglass,110
30/06/2017,Manhattan,Vesuvio,145
30/06/2017,Manhattan,Tompkins Sq,168
30/06/2017,Queens,Astoria,2197
30/06/2017,Queens,Fisher,870
30/06/2017,Queens,Liberty,765
30/06/2017,Queens,Fort Totten,599
30/06/2017,Queens,Astoria Hts PS 10,0
30/06/2017,Queens,Castlewood PS 186,56
30/06/2017,Queens,Windmuller,448
30/06/2017,Staten Island,Faber,534
30/06/2017,Staten Island,Lyons,993
30/06/2017,Staten Island,Tottenville,352
30/06/2017,Staten Island,West Brighton,457
30/06/2017,Staten Island,MacArthur,32
30/06/2017,Staten Island,Mariner's Harbor,0
30/06/2017,Staten Island,P.S. 14,150
30/06/2017,Staten Island,P.S. 46,149
01/07/2017,Brooklyn,Betsy Head,634
01/07/2017,Brooklyn,Adelphi,178
01/07/2017,Brooklyn,Lindower Mill Basin,254
01/07/2017,Brooklyn,Jesse Owens JHS 57,0
01/07/2017,Brooklyn,Glenwood,30
01/07/2017,Brooklyn,David Fox,79
01/07/2017,Brooklyn,McCarren,1610
01/07/2017,Brooklyn,Sunset,1377
01/07/2017,Brooklyn,Red Hook,747
01/07/2017,Brooklyn,Kosciusko,747
01/07/2017,Brooklyn,Howard,518
01/07/2017,Brooklyn,Douglas Degraw,482
01/07/2017,Brooklyn,Commodore Barry,569
01/07/2017,Brooklyn,Bushwick,182
01/07/2017,Bronx,Claremont,667
01/07/2017,Bronx,Edenwald Houses,140
01/07/2017,Bronx,Crotona,1594
01/07/2017,Bronx,Floating Pool,480
01/07/2017,Bronx,Haffen,370
01/07/2017,Bronx,Mapes,776
01/07/2017,Bronx,Mullaly,532
01/07/2017,Bronx,Van Cortlandt,948
01/07/2017,Bronx,Bronx River Plgd,129
01/07/2017,Manhattan,Asser Levy,342
01/07/2017,Manhattan,Dapolito,270
01/07/2017,Manhattan,Dry Dock,400
01/07/2017,Manhattan,Hamilton Fish,1060
01/07/2017,Manhattan,Highbridge,1760
