Date BR,Date,Borough,Pool,Attendance,Date BR,Latitude,Longitude,Timezone,Daily Data Time,Daily Data Summary,Daily Data Icon,Daily Data Sunrisetime,Daily Data Sunsettime,Daily Data Moonphase,Daily Data Temperaturehigh,Daily Data Temperaturehightime,Daily Data Temperaturelow,Daily Data Temperaturelowtime,Daily Data Apparenttemperaturehigh,Daily Data Apparenttemperaturehightime,Daily Data Apparenttemperaturelow,Daily Data Apparenttemperaturelowtime,Daily Data Dewpoint,Daily Data Humidity,Daily Data Pressure,Daily Data Windspeed,Daily Data Windgust,Daily Data Windgusttime,Daily Data Windbearing,Daily Data Cloudcover,Daily Data Uvindex,Daily Data Uvindextime,Daily Data Visibility,Daily Data Temperaturemin,Daily Data Temperaturemintime,Daily Data Temperaturemax,Daily Data Temperaturemaxtime,Daily Data Apparenttemperaturemin,Daily Data Apparenttemperaturemintime,Daily Data Apparenttemperaturemax,Daily Data Apparenttemperaturemaxtime,Offset
29/06/2017,06/29/2017,Brooklyn,Betsy Head,1107,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Brooklyn,Adelphi,195,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Brooklyn,Lindower Mill Basin,140,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Brooklyn,Jesse Owens JHS 57,0,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Brooklyn,Glenwood,50,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Brooklyn,David Fox,194,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Brooklyn,McCarren,2526,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Brooklyn,Sunset,2124,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Brooklyn,Red Hook,807,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Brooklyn,Kosciusko,988,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Brooklyn,Howard,486,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Brooklyn,Douglas Degraw,515,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Brooklyn,Commodore Barry,527,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Brooklyn,Bushwick,0,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
29/06/2017,06/29/2017,Bronx,Claremont,692,29/06/2017,40.6881158,-74.0449987,America/New_York,1498622400,Clear throughout the day.,clear-day,1498642140,1498696380,0.18,79.92,1498684140,64.24,1498729140,79.42,1498684140,64.73,1498729140,51.94,0.55,1018.9,2.9,13.08,1498672440,285,0.17,8,1498665420,9.997,58.23,1498642740,79.92,1498684140,58.72,1498642740,79.42,1498684140,-4
